,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,DAILY_MARKET_CAPS,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-06-09,217320792648,47241635832,21733626217,13274452699,4172612954,6900731891,2567555905,3599108827
,2022-06-10,216720355679,47342510177,21414878399,13674820596,4345939949,6848117620,2571784294,3593035202
,2022-06-11,201384347492,46728206971,19451246647,12668804911,4087062146,6222585939,2369306586,3190886206
,2022-06-12,185302828002,44053080227,18703983407,11572660692,3696949485,5572534968,2204026962,2897239452
,2022-06-13,176649606144,42131635373,17023647989,10608680978,3483870740,4968584616,2105090454,2670820996
,2022-06-14,146072737223,36198614008,15528588225,9406103236,2901527879,4412824577,1867660252,2449305492
,2022-06-15,146866764083,36442165016,16414271851,10187884853,2859677621,4653698278,1864865035,2404521294
,2022-06-16,148791271624,37939256522,17959119805,11709149277,2976144053,5076381198,2128248286,2681471733
,2022-06-17,129200159744,34207718311,16118020968,10245461840,2619796088,4425021661,1851308282,2338567395
,2022-06-18,132057112459,35292818780,16517893642,10611942138,2757262368,4528710129,1885273970,2418299115
,2022-06-19,120148911164,32227038804,15431066873,10801954807,2370001610,4175620901,1783629187,2229584104
,2022-06-20,136214925416,34924468457,16276345714,11668548379,2622846855,4561590990,1975462924,2356507718
,2022-06-21,136360308696,35485172287,16715183294,12160553284,2756965134,4832366807,2004341718,2460270252
,2022-06-22,136466936750,35750851630,16226255963,12360022352,2878825722,4739251150,2025074949,2529889648
,2022-06-23,127762640726,35089855487,15527121222,11762783423,3666199046,4546159657,2070739115,2371114382
,2022-06-24,138845063633,37404154458,16255800328,13147607751,4548010279,5160150869,2375977794,2573857212
,2022-06-25,150370804176,39486522340,17038833814,14600518798,4878241552,5847997817,2438670406,2922971550
,2022-06-26,150822450290,39111045133,16869524880,14506227736,4798795887,5992233607,2527672578,3007474834
,2022-06-27,145727702947,38265201885,16623658890,13523527665,4519546182,5597997948,2354776792,2736397339
,2022-06-28,144903396179,38180897051,16456993692,13201680175,4250615231,5470613713,2283539208,2698556389
,2022-06-29,138578887989,37046663286,15864801949,12087889411,4072971402,5113177709,2137777691,2467861633
,2022-06-30,133275228451,35835405054,15747671035,11618504834,3966371080,4967701617,2158973322,2474605033
,2022-07-01,125647331913,35182367552,15248112249,11335169280,3689260350,4704499344,2151223071,2386905129
,2022-07-02,128274306968,35751016076,15336638275,11439454289,3750457769,4618747884,2402497665,2461534564
,2022-07-03,127772810161,35629922971,15484756835,11471587893,3923070112,4628616201,2362768257,2404034034
,2022-07-04,128552380047,35811629796,15446861108,11480814254,3696589405,4703087570,2376316833,2410913736
,2022-07-05,137709680960,37729735517,15856014567,12596079600,3947266950,5078009684,2566199393,2555589222
,2022-07-06,135655130080,37695662458,15459445604,12138245305,4092200898,5108605714,2643333349,2467987980
,2022-07-07,142216914175,38971926594,15639819201,12734796276,4208885629,5417417463,2603764865,2554744432
,2022-07-08,148622605231,39540006904,16218380750,13277309360,4507799759,5751205415,2753106250,2718440118
,2022-07-09,148022842649,39635033167,15950017979,13380490032,4907093838,5684576777,2679708431,2653541209
,2022-07-10,145667751204,39708056981,16212837852,13134459004,4715132637,5642504337,2631215239,2782085323
,2022-07-11,139844141995,38334827207,15681229639,12680872340,4575205399,5426262387,2579518775,2578715538
,2022-07-12,131363492852,36894922650,14760113240,11600411536,4523838230,4944935949,2403093566,2366421426
,2022-07-13,124831295050,36231969767,14313569195,11406193663,4381619560,4851672514,2283594048,2369123454
,2022-07-14,132986401489,37618474755,14797283958,12072416721,5109391354,5346246147,2373911529,2437010105
,2022-07-15,142767764051,38927039106,14943454279,12850093050,5673324162,5605854627,2643327434,2568600753
,2022-07-16,147677565536,38894135455,14953534950,12938130582,5651168516,5496705051,2641321182,2583025464
,2022-07-17,161839496479,40751955646,15444621245,13666217564,5810959090,6041229826,2696860580,2702964678
,2022-07-18,161551223982,40589283427,15219619231,13432332941,6071112236,5881451124,2622421373,2626011748
,2022-07-19,187518878564,43107669102,16593812798,14864108116,7652866037,6759004104,2795024308,2989606032
,2022-07-20,184299116474,43881525020,17440738301,15517487196,7391064792,6996816231,3090442191,3387509703
,2022-07-21,183383314169,42332670049,16685743726,14654904730,6736795824,6768338849,2831011230,3125384299
,2022-07-22,188807814066,43329646345,16943428135,14946518783,7292411413,7124088488,3246674547,3253438972
,2022-07-23,183933879175,42796458925,16342041084,14004906062,6824184490,6709880792,3112603543,3212902153
,2022-07-24,185766674503,42364397843,17526372893,13860175821,7039160045,6724784286,2960982235,3205086493
,2022-07-25,192833875419,42971350008,17504344264,14275526155,7115760937,6816915762,2938823258,3247094373
,2022-07-26,176371406953,40716542938,16303401123,12694337923,6320441009,6056208965,2686611911,2852345170
,2022-07-27,172489862868,40597926831,15833042011,12538834972,6198187942,5851340765,2692103689,2794273895
,2022-07-28,195761014376,44039739596,17200487925,14009415149,7116221722,6632447521,3013259656,3093789054
,2022-07-29,206347207632,45134642246,17351452032,14829428737,7491088980,6865793329,3177333852,3259635981
,2022-07-30,210767555014,48492377929,17944907096,14752480667,7633318477,7072906489,3311185992,3323641633
,2022-07-31,203433082402,46919624856,17764182817,15135249028,7433846135,6892000844,3119144645,3250061689
,2022-08-01,201684547325,46356068028,17550498086,14746724189,7457474067,6769063616,3040973569,3190816617
,2022-08-02,195962280445,46301685649,17347867527,14458934770,6668485780,6700928283,3022381428,3198419497
,2022-08-03,197496591505,46595190260,16978007491,14143900211,6620524507,6586833847,2940330986,3276366732
,2022-08-04,194280005714,48707468947,16997573339,13359558186,6588769612,6559594146,2967847888,3395227475
,2022-08-05,192923352505,50645057813,16952714475,13471456882,6640591265,6657994269,3038887314,3327982584
,2022-08-06,206550599257,51181171045,17481580238,13995005582,6890164348,7070687077,3201276617,3894290484
,2022-08-07,203417937064,51485579405,17363035060,13910405478,6768766411,7571156370,3118423083,3701789294
,2022-08-08,203847481553,52739608922,17891440238,14115646955,6755218292,7936286806,3333019267,3759013982
,2022-08-09,213209087780,53002218705,18177212772,14696098301,6871763920,7974127885,3458337494,4158732549
,2022-08-10,204260348577,53192959785,17443295979,14091576297,6600739899,7823851060,3353371407,4058365758
,2022-08-11,222103417230,53491408553,18170907379,14682953331,6983805578,8275866192,3485751050,4435609308
,2022-08-12,225973452854,52850221539,17990239681,14901555484,6853167615,8135041254,3440206720,4348156082
,2022-08-13,235254593665,53411746990,18303954513,15769739254,6953125558,8359137949,3529439081,4534912509
,2022-08-14,237972056307,52876462684,18995496380,16242663928,7632432132,8300133859,3485516551,4447395158
,2022-08-15,232593263080,51831138384,19376950921,15707019257,7455491486,8042826297,3398597154,4279529657
,2022-08-16,229440415802,52259059529,18697412375,15322661205,7095440285,7904215936,3340583656,4129457710
,2022-08-17,225581585657,51644710408,18927844549,15065562430,6969140498,7763571237,3340750430,4033271939
,2022-08-18,220665870251,50100609705,18212548966,14161164134,6581323410,7283665569,3438032302,3802015834
,2022-08-19,222652366351,48825701689,17412399057,13863255687,6430890360,6932923663,3378350515,3722774275
,2022-08-20,194817731985,45642954306,15264620469,12530469534,5751799999,6421004803,3171730237,3266556544
,2022-08-21,189621068133,46252370172,15287373243,12256688441,5859970335,6331474156,2996813200,3178420192
,2022-08-22,195324471845,49486226301,15737082240,12815310875,6134612490,6580655826,3128744244,3257502323
,2022-08-23,193708156170,49150485248,15558968018,12352579321,6018906496,6414941475,3226325404,3149183555
,2022-08-24,199889229687,48982780106,15758641592,12481061525,6203110007,6718039692,3552948260,3305289277
,2022-08-25,199117634174,48379260404,15498632417,12227264266,6042927680,6561248639,3802531018,3284302543
,2022-08-26,204240810437,49272835872,15769622061,12346020470,6105922682,6585353999,3771910007,3335569453
,2022-08-27,181238520850,45470473383,14532909605,11046201722,5667422255,5847246010,3354602525,3016409961
,2022-08-28,179887478327,45369238899,15255653329,11052608205,6015705192,5749207481,3299663258,3027243200
,2022-08-29,173645963259,45374822895,14635063104,10721767532,5892264077,5261790721,3105295636,2914743481
,2022-08-30,187437853967,46716386630,15311579937,11387115688,6102550520,5542192220,3362702423,3123452319
,2022-08-31,184447549244,46046373619,15340224310,11032381033,6080652075,5552239521,3501709666,3257583347
,2022-09-01,186670000431,45512248504,15116206759,10982002955,6186959628,5622851606,3459927806,3372250382
,2022-09-02,191078487040,45462861465,15490616058,11037789631,6596954692,5684477949,3741868322,3356018500
,2022-09-03,189678877653,45198465388,15371731935,10904364506,6485351920,5548380262,3700586933,3230639844
,2022-09-04,187266246295,45346195157,16272187679,10881773798,6621985994,5555445964,3696059766,3229101945
,2022-09-05,190082046955,45476672065,16979205844,11245569490,6658245706,5596962511,3776747966,3285574293
,2022-09-06,194714097036,45101612118,16869479136,11264121878,6556512814,5642232065,3710953654,3282671283
,2022-09-07,188733785486,43155638706,15710782586,10834953198,6131910721,5385107339,3468729407,3175253340
,2022-09-08,196797197824,45453989049,16275716122,11595827258,6275575615,5624214359,3806106481,3412373119
,2022-09-09,196882691710,45796774077,16225891069,11847628651,6279070114,5646686843,4054824429,3640723774
,2022-09-10,206873029263,47844370267,16883909775,12244442277,6630987651,6010227939,4697025669,3767309799
,2022-09-11,214315849499,48573687139,17349135568,12419481831,6740658732,6072981480,4693914316,3758054741
,2022-09-12,211895058510,48115913412,17203617072,12331013775,6637592269,6088678141,4585098150,3819959987
,2022-09-13,205793007271,47815172004,16929934732,13183798412,6899343330,6294701400,4529022524,3940035204
,2022-09-14,189778580453,45169037859,15757149495,11697896820,6304453460,5591520884,4080825313,3465576461
,2022-09-15,196550513819,45617788344,16255726045,12027439275,6425975474,5645652382,4087786502,3545020146
,2022-09-16,177918273632,44237559175,15787367090,11742374386,6145957383,5387976780,4346573319,3287272993
,2022-09-17,172471655155,44781850539,16036352648,11380713338,5998413318,5338902518,4871880092,3296136844
,2022-09-18,177299639477,45616157324,16481081019,11970489830,6176611909,5460658973,4825854246,3450780230
,2022-09-19,161378107850,43523757865,15177820355,11014413847,5622326611,4969156595,4324018736,3073820060
,2022-09-20,166370229681,44476332737,15380850390,11598805637,5719295126,5128126603,4596019874,3199823486
,2022-09-21,159844149939,43537042605,14971439824,11136148382,5453960237,4932167220,4083723909,3011449315
,2022-09-22,151084586604,43192546029,14927028910,10920166915,5242222187,4903381064,3935707894,2871973696
,2022-09-23,160415097114,44981567511,15552763942,11489637349,5610634454,5228726542,4289767543,3048776407
,2022-09-24,160823914265,45185478739,15705053313,11974606499,5811859992,5331293401,4178647848,2985733729
,2022-09-25,159030822515,45005324723,15316824192,11877506512,5615198731,5217162468,4000937042,2917312592
,2022-09-26,156146367767,44725198716,15119251767,11474712536,5504261412,5128051852,4126811897,2867784415
,2022-09-27,160767471778,44942732070,15075736600,11924970586,5606010481,5162522045,4054035662,2884234093
,2022-09-28,160800122125,44501118451,14974356860,11669868173,5522497753,5124694420,3965802018,2859356881
,2022-09-29,161716193676,45985363666,14823431642,11817378026,5564992773,5117069973,3819965691,2817814801
,2022-09-30,161267455734,46295594360,14806691717,12066578262,5676055386,5129624506,3745666230,2819346182
,2022-10-01,160462955554,46399832662,14696613225,11808862838,5796979274,5096140745,3800071528,2846890031
,2022-10-02,158410068981,46143731337,14572943701,11538414123,5698548985,5027498343,3706033612,2836960922
,2022-10-03,154934842226,46627866231,14166555662,11395149008,5725807486,4920590407,3555127225,2796344139
,2022-10-04,159951067076,46843391805,14489425802,11735344820,5970604443,5105360297,3775446759,2840992444
,2022-10-05,164781680358,48396050335,14750681909,12125352216,6225483738,5163743357,3812092740,2907438318
